iter	Accuracy	Logloss
162	0.8859527121	0.3269500857
163	0.8859527121	0.3260053334
164	0.8873435327	0.3253357877
165	0.8873435327	0.32468007
166	0.8915159944	0.3240550774
167	0.892906815	0.3236160031
168	0.8915159944	0.3232186939
169	0.8915159944	0.3229015098
170	0.8915159944	0.322759819
171	0.892906815	0.3221349555
172	0.8915159944	0.3217639616
173	0.8915159944	0.3211068554
174	0.892906815	0.3205234035
175	0.8915159944	0.3200272942
176	0.8942976356	0.31911709
177	0.8956884562	0.3188847043
178	0.8942976356	0.3183137396
179	0.8956884562	0.3176549068
180	0.8956884562	0.3176498993
181	0.8956884562	0.3174445989
182	0.8942976356	0.3167525824
183	0.8942976356	0.3164379201
184	0.8942976356	0.3160901065
185	0.8942976356	0.3154708868
186	0.8942976356	0.3152968229
187	0.8942976356	0.3145441183
188	0.8956884562	0.3141633923
189	0.8956884562	0.3136968432
190	0.8956884562	0.3135486738
191	0.8956884562	0.3134832813
192	0.8970792768	0.3127212156
193	0.8970792768	0.3124690309
194	0.8970792768	0.3117693017
195	0.8970792768	0.3116268188
196	0.8970792768	0.3110343951
197	0.8970792768	0.3106026383
198	0.8970792768	0.3099706628
199	0.8956884562	0.3094263997
200	0.8956884562	0.3092238717
201	0.8956884562	0.3090861189
202	0.8970792768	0.3086616707
203	0.8970792768	0.3083647844
204	0.8970792768	0.3080076567
205	0.8970792768	0.3079201165
206	0.8970792768	0.3075457209
207	0.8970792768	0.3072771071
208	0.8998609179	0.306457117
209	0.9012517385	0.3057622659
210	0.9012517385	0.3055772145
211	0.9012517385	0.3050522135
212	0.9012517385	0.3049235971
213	0.9012517385	0.3042013011
214	0.9012517385	0.3038877166
215	0.9012517385	0.3036605875
216	0.9012517385	0.3030679979
217	0.9012517385	0.3027582268
218	0.9012517385	0.3026393383
219	0.9012517385	0.3021411119
220	0.8998609179	0.3018325885
221	0.8998609179	0.3017935721
222	0.9012517385	0.3016089431
223	0.9012517385	0.3012241909
224	0.9012517385	0.3011999211
225	0.9012517385	0.3008351551
226	0.9012517385	0.3005075354
227	0.9012517385	0.3003112424
228	0.9012517385	0.2998915922
229	0.9012517385	0.2994104862
230	0.9026425591	0.2988385727
231	0.9026425591	0.298396357
232	0.9026425591	0.2983538818
233	0.9026425591	0.2976209662
234	0.9026425591	0.2975150311
235	0.9026425591	0.2967958537
236	0.9012517385	0.2963936155
237	0.9012517385	0.2962467673
238	0.9026425591	0.2956563809
239	0.9026425591	0.2953585402
240	0.9026425591	0.2953215899
241	0.9026425591	0.295265251
242	0.9026425591	0.2952309088
243	0.9026425591	0.295146594
244	0.9026425591	0.2947375723
245	0.9026425591	0.2945123069
246	0.9040333797	0.2936640752
247	0.9040333797	0.2929641991
248	0.9040333797	0.2924316239
249	0.9054242003	0.2921665679
250	0.9040333797	0.2916837163
251	0.9054242003	0.2910820103
252	0.9068150209	0.2906322456
253	0.9068150209	0.2903029102
254	0.9068150209	0.2901510178
255	0.9068150209	0.2899485158
256	0.9068150209	0.2897572583
257	0.9068150209	0.2895841165
258	0.9054242003	0.2892604784
259	0.9068150209	0.2889141287
260	0.9068150209	0.2885037554
261	0.9068150209	0.2881298916
262	0.9068150209	0.2878255143
263	0.9068150209	0.2869379668
264	0.9068150209	0.2867387922
265	0.9068150209	0.2866652347
266	0.9068150209	0.2865181359
267	0.9068150209	0.2864145239
268	0.9068150209	0.2861256863
269	0.9068150209	0.2855441622
270	0.9068150209	0.2853142196
271	0.9068150209	0.2851165266
272	0.9068150209	0.2847646325
273	0.9068150209	0.2845842628
274	0.9068150209	0.2844589395
275	0.9068150209	0.2840423557
276	0.9068150209	0.28376575
277	0.9068150209	0.2831455683
278	0.9068150209	0.2828076943
279	0.9068150209	0.2824775377
280	0.9068150209	0.2817588769
281	0.9068150209	0.2813452035
282	0.9082058414	0.2811351091
283	0.9082058414	0.2809771273
284	0.9082058414	0.2806816497
285	0.9082058414	0.2802675842
286	0.9082058414	0.2800595006
287	0.9082058414	0.2797061605
288	0.9082058414	0.2795306385
289	0.909596662	0.2793640678
290	0.9082058414	0.2792356171
291	0.9082058414	0.278654497
292	0.9082058414	0.2784326862
293	0.909596662	0.2781670764
294	0.909596662	0.2777175942
295	0.909596662	0.2769965801
296	0.9109874826	0.2766825328
297	0.9109874826	0.276228719
298	0.9109874826	0.2758928511
299	0.9109874826	0.2750412973
300	0.9109874826	0.2747673748
301	0.9109874826	0.274693873
302	0.9109874826	0.2745327647
303	0.9109874826	0.2742766542
304	0.9109874826	0.2739420722
305	0.9109874826	0.273061649
306	0.9109874826	0.2729055624
307	0.9123783032	0.2726576653
308	0.9109874826	0.2723527772
309	0.9123783032	0.2718366111
310	0.9137691238	0.2712620277
311	0.9137691238	0.2711560323
312	0.9137691238	0.2703126219
313	0.9137691238	0.2699346216
314	0.9137691238	0.2694484925
315	0.9123783032	0.2691925002
316	0.9123783032	0.2690342937
317	0.9151599444	0.2686222813
318	0.9151599444	0.268503414
319	0.9137691238	0.267764265
320	0.9151599444	0.2673485009
321	0.9137691238	0.2672120641
322	0.9137691238	0.2665786326
323	0.9137691238	0.2662627932
324	0.9137691238	0.2656079904
325	0.9137691238	0.2654893491
326	0.9137691238	0.2654043028
327	0.9137691238	0.2652389684
328	0.9137691238	0.2646650759
329	0.9151599444	0.264423884
330	0.9151599444	0.26410507
331	0.9151599444	0.2636641424
332	0.9151599444	0.2632346604
333	0.9151599444	0.2629482197
334	0.9151599444	0.262717131
335	0.9151599444	0.262549397
336	0.9151599444	0.2624395974
337	0.9151599444	0.2620955013
338	0.9151599444	0.2620114112
339	0.9151599444	0.261666216
340	0.9151599444	0.2615681201
341	0.9151599444	0.2611485389
342	0.9151599444	0.2604126224
343	0.9151599444	0.2601116348
344	0.9151599444	0.2599397885
345	0.9151599444	0.2596134977
346	0.9151599444	0.2594426705
347	0.9151599444	0.2585622499
348	0.9151599444	0.2584433242
349	0.9151599444	0.2575302935
350	0.9137691238	0.2569620444
351	0.9137691238	0.2564592691
352	0.9137691238	0.2556197693
353	0.9137691238	0.2554810655
354	0.9151599444	0.254744536
355	0.9151599444	0.2539919409
356	0.9151599444	0.2531160509
357	0.9151599444	0.2524492713
358	0.916550765	0.2522413555
359	0.916550765	0.2516079794
360	0.9179415855	0.2510741036
361	0.9179415855	0.2504432737
362	0.9179415855	0.2503264899
363	0.9179415855	0.2495059049
364	0.9193324061	0.2493264278
365	0.9207232267	0.2488797038
366	0.9207232267	0.2481124946
367	0.9207232267	0.2476600017
368	0.9207232267	0.2473617984
369	0.9207232267	0.2468383718
370	0.9207232267	0.2462940519
371	0.9193324061	0.2461958285
372	0.9221140473	0.2458027655
373	0.9221140473	0.2453358092
374	0.9221140473	0.2448879602
375	0.9221140473	0.2444581247
376	0.9235048679	0.2439903225
377	0.9235048679	0.2437061816
378	0.9235048679	0.2430643912
379	0.9248956885	0.2425554627
380	0.9248956885	0.2421129935
381	0.926286509	0.241574988
382	0.9276773296	0.2410887176
383	0.9276773296	0.2409841632
384	0.9276773296	0.2404100463
385	0.9276773296	0.2403527468
386	0.9290681502	0.2402498394
387	0.9290681502	0.2396732555
388	0.9290681502	0.2391464066
389	0.9304589708	0.2385054212
390	0.9304589708	0.2384074726
391	0.9304589708	0.2378752973
392	0.9304589708	0.2373709311
393	0.9304589708	0.23681831
394	0.9318497914	0.2362158557
395	0.9318497914	0.23580877
396	0.9318497914	0.2357358655
397	0.9318497914	0.2353776133
398	0.9318497914	0.2352420397
399	0.9318497914	0.2351553131
400	0.9318497914	0.2346852679
401	0.9318497914	0.2344302897
402	0.9318497914	0.2337773212
403	0.9318497914	0.2336390007
404	0.9318497914	0.2335734852
405	0.9318497914	0.2334173929
406	0.9318497914	0.2333236886
407	0.9318497914	0.2332296798
408	0.9318497914	0.2331400664
409	0.9318497914	0.2325552674
410	0.9318497914	0.2319450228
411	0.9318497914	0.2317992078
412	0.9318497914	0.2314834566
413	0.9318497914	0.2313227108
414	0.9318497914	0.2309400698
415	0.9318497914	0.2307894448
416	0.9318497914	0.2303971455
417	0.9318497914	0.229900285
418	0.9318497914	0.2298167345
419	0.9318497914	0.2294043152
420	0.9318497914	0.2290042722
421	0.9318497914	0.2288791298
422	0.9318497914	0.2286928234
423	0.9318497914	0.2282524762
424	0.9318497914	0.2278480229
425	0.9318497914	0.2276836921
426	0.9318497914	0.2271550559
427	0.9318497914	0.2270417584
428	0.9318497914	0.2270056787
429	0.9318497914	0.2265947166
430	0.9318497914	0.2261309388
431	0.9318497914	0.2259995856
432	0.9318497914	0.2258824424
433	0.9318497914	0.2258126257
434	0.9318497914	0.225540475
435	0.9318497914	0.2254473074
436	0.9318497914	0.2251305565
437	0.9318497914	0.2247784885
438	0.9318497914	0.2246420578
439	0.9318497914	0.2245847877
440	0.9318497914	0.2244224305
441	0.9318497914	0.2240468187
442	0.9318497914	0.2238711754
443	0.9318497914	0.2238016227
444	0.9318497914	0.2235250072
445	0.933240612	0.223200787
446	0.9318497914	0.2230723969
447	0.9318497914	0.2225652136
448	0.9318497914	0.2224948447
449	0.9318497914	0.22196387
